policy_id,start_date,end_date,coverage,agent_foreign_key,customer_foreign_key
364520,2016-12-24,2017-12-02,Travel insurance,Nina Tomaszewska,57030201804
113037,2019-05-08,2020-04-21,Home insurance,Jadwiga Olszewska,99060412331
594179,2017-10-10,2018-03-27,Agricurtular insurance,Dominik Wojciechowski,44112751360
250389,2013-08-15,2014-05-10,Home insurance,Hanna Kowalczyk,05260294002
656978,2017-06-11,2018-05-31,Life insurance,Andrzej Kamiński,71052141393
818806,2015-01-14,2015-01-21,Travel insurance,Karolina Dąbrowska,55061334696
994938,2017-01-13,2017-12-02,Life insurance,Jadwiga Olszewska,92081329350
842176,2013-11-28,2014-09-26,Business insurance,Izabela Jabłońska,95072567131
824286,2014-12-18,2015-03-18,Auto insurance,Lucyna Woźniak,72072487476
423087,2015-06-07,2016-01-09,Agricurtular insurance,Emil Szewczyk,06271138398
848665,2019-07-03,2020-04-24,Health insurance,Lech Wróblewski,50053017946
252356,2011-11-22,2012-08-17,Agricurtular insurance,Błażej Majewski,43080407727
548043,2014-03-15,2014-08-30,Business insurance,Małgorzata Michalak,43090890467
583561,2019-05-04,2020-02-24,Life insurance,Beata Lewandowska,74021230159
630588,2015-09-23,2016-07-08,Travel insurance,Edward Piotrowski,58052768887
815429,2020-12-08,2021-01-17,Agricurtular insurance,Bartłomiej Tomaszewski,62091113023
541689,2014-10-13,2014-12-27,Travel insurance,Lucyna Górska,00240251901
349314,2018-01-27,2018-08-06,Home insurance,Lech Wróblewski,74071948550
874151,2018-12-09,2019-03-31,Home insurance,Lucyna Jankowska,73013012878
445354,2013-09-12,2013-12-03,Health insurance,Ireneusz Adamczyk,93012805835
159275,2017-09-18,2017-09-27,Travel insurance,Ireneusz Adamczyk,80112665689
122483,2020-08-23,2020-10-19,Auto insurance,Gabriela Wójcik,80101549246
411136,2012-01-08,2012-01-10,Home insurance,Helena Zielińska,51032342466
535456,2019-07-12,2020-05-05,Life insurance,Janina Ostrowska,67082326231
875909,2015-03-22,2015-04-27,Auto insurance,Ireneusz Adamczyk,90092040185
577177,2016-12-01,2016-12-30,Business insurance,Marianna Kwiatkowska,81100569356
466708,2019-06-12,2019-09-24,Home insurance,Aneta Jabłońska,99120403307
326229,2012-04-05,2012-09-13,Health insurance,Dominik Nowakowski,41100506564
412170,2019-02-13,2019-05-23,Agricurtular insurance,Marian Tomaszewski,82090890961
463652,2019-06-13,2019-08-02,Health insurance,Janina Ostrowska,77111340206
801118,2010-01-09,2010-11-24,Business insurance,Małgorzata Michalak,61112918175
257060,2018-06-25,2019-05-19,Home insurance,Małgorzata Witkowska,81101039122
362842,2014-02-07,2014-05-17,Travel insurance,Bolesław Lewandowski,44052800898
767548,2017-06-01,2017-07-02,Agricurtular insurance,Lidia Kamińska,54082265297
925823,2012-04-17,2013-03-09,Business insurance,Janina Ostrowska,58111171515
415214,2018-12-05,2019-05-05,Life insurance,Marian Tomaszewski,52082710595
119585,2015-07-07,2015-08-02,Business insurance,Gabriela Wójcik,51062166090
225542,2014-10-15,2015-07-15,Agricurtular insurance,Ewa Górska,72102898627
438912,2020-05-28,2020-10-04,Home insurance,Dawid Majewski,05212918806
313644,2015-04-06,2015-07-27,Auto insurance,Marianna Kwiatkowska,81090397522
518837,2018-07-26,2019-03-05,Health insurance,Nina Tomaszewska,89031922206
103758,2020-06-20,2021-04-22,Agricurtular insurance,Elżbieta Majewska,68122626120
476241,2012-08-08,2013-01-25,Auto insurance,Dagmara Wójcik,80082423678
500324,2011-11-05,2012-08-23,Travel insurance,Dorota Michalak,76051885202
429326,2020-06-27,2020-11-03,Business insurance,Izabela Dudek,46082975270
342763,2019-01-03,2019-05-03,Business insurance,Emil Stępień,55021139778
738016,2010-08-10,2010-09-06,Home insurance,Ignacy Szymański,77062478409
902630,2013-03-05,2013-09-08,Travel insurance,Hanna Kowalczyk,71011197445
889128,2014-02-23,2014-03-28,Travel insurance,Kamila Woźniak,67020431997
372198,2011-08-07,2011-12-30,Travel insurance,Małgorzata Witkowska,89050931959
503789,2010-02-19,2010-05-16,Agricurtular insurance,Beata Lewandowska,89103188578
456671,2011-04-12,2012-01-09,Travel insurance,Jadwiga Olszewska,99102367933
686623,2014-11-06,2015-09-29,Travel insurance,Dorota Michalak,85021538147
474696,2013-01-23,2013-12-07,Agricurtular insurance,Barbara Majewska,95073094483
593541,2010-07-12,2010-12-09,Agricurtular insurance,Izabela Jabłońska,76061864305
286949,2012-09-21,2013-02-19,Auto insurance,Irena Woźniak,79091383828
389183,2012-12-07,2013-11-16,Business insurance,Daniel Wiśniewski,44050474835
541159,2011-01-17,2011-09-13,Auto insurance,Bartosz Król,06231672234
650183,2012-12-25,2012-12-30,Auto insurance,Jan Nowicki,54091060122
604975,2014-01-18,2014-11-11,Life insurance,Jan Nowicki,67030309297
341801,2012-06-21,2013-04-07,Business insurance,Kinga Jabłońska,81021203908
800947,2010-12-12,2011-03-22,Home insurance,Beata Grabowska,52091793501
350677,2018-06-08,2019-05-18,Auto insurance,Krzysztof Baran,44032524130
501347,2017-05-21,2017-08-22,Business insurance,Filip Adamczyk,97032663820
105061,2018-12-14,2019-04-12,Travel insurance,Emilia Pietrzak,85071546679
792706,2018-07-01,2018-12-06,Auto insurance,Izabela Ostrowska,47062073010
427432,2015-11-01,2016-08-23,Home insurance,Gabriela Grabowska,66031619750
168832,2017-02-13,2017-11-04,Travel insurance,Jan Nowicki,06322393224
431540,2016-06-13,2016-12-31,Life insurance,Ireneusz Adamczyk,53030429187
331134,2014-04-13,2014-12-18,Life insurance,Henryk Rutkowski,43090890467
661775,2018-11-09,2019-04-03,Business insurance,Andrzej Kamiński,94092524698
544849,2015-06-05,2015-09-24,Home insurance,Jadwiga Olszewska,41123094532
884035,2012-06-27,2013-05-23,Agricurtular insurance,Barbara Majewska,58092629982
552392,2011-12-22,2012-09-29,Business insurance,Filip Nowak,49110733738
991542,2018-12-05,2019-11-13,Life insurance,Dorota Michalak,53081738801
103752,2012-04-20,2012-11-15,Agricurtular insurance,Marian Tomaszewski,88110523365
227814,2014-07-06,2014-07-29,Travel insurance,Aleksandra Nowicka,67020775369
701853,2013-09-23,2014-03-29,Home insurance,Dorota Lewandowska,41111559050
874737,2014-10-07,2015-04-10,Business insurance,Daniel Michalak,82031035408
443461,2018-09-03,2019-03-09,Life insurance,Danuta Lewandowska,70062821413
390617,2011-09-25,2012-08-14,Health insurance,Helena Zielińska,76062437232
561287,2012-08-26,2013-04-23,Auto insurance,Filip Adamczyk,81100569356
930995,2011-04-26,2011-09-25,Agricurtular insurance,Dagmara Wójcik,01261803069
328779,2013-09-07,2014-08-28,Life insurance,Daniel Wiśniewski,90092644518
649245,2016-06-19,2016-07-19,Travel insurance,Andrzej Kamiński,51061605622
471240,2016-10-17,2017-06-10,Auto insurance,Karol Nowakowski,72030149220
324387,2016-07-05,2016-07-19,Travel insurance,Bartłomiej Kowalczyk,00240251901
151669,2012-02-04,2013-01-13,Business insurance,Andrzej Kamiński,62102613823
325470,2011-06-27,2011-08-29,Business insurance,Kinga Jabłońska,99120932164
461392,2010-05-05,2011-05-02,Auto insurance,Lucyna Jankowska,56100645788
349559,2019-03-16,2019-09-04,Agricurtular insurance,Agnieszka Krawczyk,99040892713
414259,2016-06-23,2016-11-25,Business insurance,Franciszek Kowalczyk,46082975270
305798,2011-12-02,2012-11-12,Auto insurance,Bartosz Król,66101142740
471445,2017-10-20,2018-09-04,Life insurance,Kinga Jabłońska,50053191828
783137,2010-11-09,2011-03-11,Business insurance,Ireneusz Adamczyk,92091947845
927983,2016-01-20,2016-01-25,Agricurtular insurance,Mariusz Pawlak,41121183193
977500,2020-02-22,2020-08-01,Health insurance,Emilia Pietrzak,53091044215
947865,2011-06-11,2011-11-22,Health insurance,Lucyna Jankowska,64040540812
795372,2019-04-18,2019-11-09,Auto insurance,Elżbieta Szewczyk,75062902519
181845,2019-11-15,2020-03-27,Auto insurance,Lidia Kamińska,44102375798
340703,2016-03-15,2016-10-27,Life insurance,Marian Król,69110675054
767796,2015-07-02,2016-06-25,Travel insurance,Małgorzata Witkowska,75070558331
802783,2020-04-18,2020-05-04,Home insurance,Emil Szewczyk,92012858416
398352,2018-10-17,2019-01-15,Business insurance,Dagmara Wójcik,79031076043
230310,2011-01-10,2011-09-16,Auto insurance,Janina Ostrowska,98083083627
516156,2019-06-17,2019-09-01,Home insurance,Izabela Jabłońska,67051244809
873306,2016-11-07,2017-09-28,Health insurance,Dorota Lewandowska,42021482104
528868,2019-12-09,2020-02-11,Home insurance,Franciszek Kowalczyk,80091630308
977298,2018-11-23,2019-08-21,Business insurance,Lech Wróblewski,01300122490
460102,2015-07-24,2016-04-24,Home insurance,Izabela Jabłońska,94030814715
763815,2012-11-22,2013-07-23,Auto insurance,Bolesław Lewandowski,63010549057
266213,2012-05-22,2013-01-17,Travel insurance,Irena Mazur,52091793501
422624,2013-12-02,2014-08-13,Business insurance,Nina Tomaszewska,88040941442
544722,2020-05-03,2020-11-26,Travel insurance,Lidia Baran,68102278882
588057,2020-11-01,2021-01-18,Agricurtular insurance,Dorota Lewandowska,82012969067
200335,2010-12-20,2011-08-23,Travel insurance,Irena Woźniak,47062073010
836320,2012-10-28,2013-03-26,Business insurance,Jadwiga Olszewska,98081754842
397200,2012-05-21,2012-06-29,Life insurance,Czesława Wojciechowska,85111262691
358575,2012-11-10,2013-09-13,Life insurance,Marian Król,52090624581
988360,2019-11-21,2020-03-22,Life insurance,Emilia Pietrzak,40082279754
460913,2012-03-19,2012-10-03,Business insurance,Adrian Pietrzak,92051141788
